no,line_num,staff,transport_pop,income
214,7,13,4474005,2677431537
215,7,11,6095484,3645660441
216,7,10,5867567,3647392082
217,7,13,8398383,5375567406
218,7,11,6441092,3894345281
219,7,11,7996079,4744067807
220,7,10,5528920,3389243923
221,7,14,3542145,2261698579
222,7,10,4668918,2844439438
223,7,10,4925615,2774892454
224,7,14,7635702,4719957717
225,7,10,7317814,3961651762
226,7,10,7687905,4355495894
227,7,10,2907371,1682515802
228,7,10,4717675,2863860169
229,7,0,5912098,3995224325
230,7,12,5746208,3865272629
231,7,14,5151016,3583110122
232,7,10,4104626,2672339452
233,7,14,8024286,5119772424
234,7,13,6569953,4652506280
235,7,10,10051760,6987751798
236,7,11,8241896,5945984562
237,7,10,2360975,1548462705
238,7,13,6517120,4985844798
239,7,10,6123227,3900784098
240,7,13,6878194,4414610704
241,7,10,4894625,2990063767
242,7,10,5242725,3186012663
243,7,10,4415850,2755475024
244,7,10,4014640,2444388695
245,7,13,6912943,4427548652
246,7,10,4139157,2759259598
247,7,10,5142434,3087924553
248,7,13,3507995,2708068438
249,7,14,6842416,4761918246
250,7,14,19915470,13976311809
251,7,15,9939691,6084876520
252,7,13,10200941,6020397258
253,7,11,4732808,2995189396
254,7,14,3893598,2641423832
255,7,10,3206141,2092302826
256,7,9,1956623,1285566677
257,7,9,4079698,2862288772
258,7,13,6426111,4538346155
259,7,10,5782125,4012939781
260,7,11,5915616,4030949078
261,7,9,2297224,1596515671
262,7,9,4104630,2878758366
263,7,14,3595988,3021594148
264,8,12,9094943,5198709075
265,8,0,7199858,3984978789
266,8,10,5204758,2815340078
267,8,10,3023907,1727369004
268,8,13,6615369,4062266688
269,8,10,4034545,2121073211
270,8,10,3835004,2034464666
271,8,15,3648814,1901932097
272,8,10,10768174,6664338037
273,8,10,8554151,4878160595
274,8,12,5533777,2784224401
275,8,9,3010175,1767296897
276,8,10,6502800,3703779872
277,8,11,5097055,2902190340
278,8,10,2247787,1232148206
279,8,10,2445892,1468372966
280,8,14,1661796,941908958
281,8,9,68691,38924684
